name,id,new_id,x,y,address,owner_name,notes,category
رويال الفروانية تو,59,20874741,47.96224506,29.28288667,الفروانية-قطعة1-قسيمة 005024-شارع علي فهد الدويلة,ص/رنا محمد يوسف بشير,,royal
رويال الجليب تو,60,18774717,47.94168292,29.2541083,جليب الشيوخ -قطعة 5-قسيمة 010113-شارع 55,ص/هبه عبدالله عبدالرحمن البحر,,royal
رويال خيطان ثري,61,93294924,47.97427766,29.28244547,خيطان-قطعة 4-قسيمة 97-شارع 86,ص/انوار خليل محمد الهلال,,royal
رويال الجهراء فايف,62,21551418,47.67345425,29.33868989,الجهراء-قطعة 04-قسيمة 009341-مجمع سدف التجاري,ص/منيرة عبدالعزيز حمد العنزي,,royal
رويال الجهراء ثلاثة,63,92402292,47.67337683,29.34312219,الجهراء ق 4 شارع 3,ص/ منيرة خليفة سعود الجويعد,الاسم في موقع المعلومات المدنية رويال فقط,royal
صيدلية سلوى الجديدة,64,14635664,48.07621507,29.30021097,سلوى-قطعة 5-شارع 5,ص/زياد غانم سلطان مرزوق,,
صيدلية فارما فاملي,65,91569867,48.07871451,29.28719826,سلوى -قطعة 10-شارع 4,ص/منى حادى علي الشريفي,,
صيدلية مشاعل,66,11371675,48.0569666,29.33662374,السالمية -قطعة 9 -شارع بغداد,ص/مشاعل مسلم بداح المطيري,,
صيدلية بهبهاني,67,17702762,47.92493836,29.25499524,السالمية -قطعة 10-شارع المغيرة بن شعبة-قسيمة 20112,ص/رامي صادق يلي بهبهاني,,
صيدلية الثمين,68,95187831,47.66779916,29.35018008,الجهراء -قطعة 3-شارع مرزوق المتعب,ص/زينب جاسم محمد امير,,
صيدلية تارجت,69,93289199,48.13232965,29.07683729,الفحيحيل -قطعة 7-قسيمة 8409-شارع الدبوس,ص/موضي عطيه محمد الشويحان,,
صيدلية الفوز  ,70,96233254,48.125165 , 29.106838,المنقف-قطعة4-شارع نايف حمد الدبوس-قسيمة1604,ص/فاطمه مساعد عمر خليفوه,,
صيدلية العلي,71,12769124,47.8835427,29.29952819,الاندلس-قطعة 4-شارع 2-قسيمة 227,ص/فاطمة عبدالوهاب خلفة العلي,,
الحياة الرقعي,72,93273891,47.91526574,29.3064452,الرقعي-قطعة 1-شارع 6,ص/نوف علي محمد القحطاني,,
صيدلية اوكسجين الوطنية,73,19889436,47.93942117,29.25753093,جليب الشيوخ ق 4 شارع العباسية,ص/لولوه محمد علي العمر,,
فارما زون اشبيلية,74,20645949,47.95172684,29.27723538,الفروانية ق 5 شارع 7502,ص/ علي عبد العال علي جمعة,,pharmazone
فارما زون خيطان تو,75,18977389,47.97714617,29.29745833,خيطان القديمة ق 1+2+3,ص/ جنان محمد عبد الرحمن بهمن,,pharmazone
